id,text,label_mean,hate_label,hate_target_label,implicit_hate,Zero-Shot Hate Detection,One-Shot Hate Detection,Few-Shot Hate Detection,Zero-Shot Hate Target Detection,One-Shot Hate Target Detection,Few-Shot Hate Target Detection
01826318d80e4f8fbe98c21b8b136837,How can the left or anyone say President Trump did not win this election when millions voted for him and support him now and Biden barely had 30 people at a rally. If Biden wins this election and the left pull off this coup then the American election process will forever be corrupted and the justice system is a farce.,2.5,no,,,no,no,no,,,
0f4cbcd7375445619ba30641618b10dc,"THREE DEJECTED DIRTY JEWS....BURN IN HELL YOU MOTHER FUCKERS...OR SOMEWHERE WE ARE ALL FAMILIAR WITH.
I SHED NO TEARS!!!!",5,yes,jews,no,yes,yes,yes,jews,jews,jews
0fed479bd13f4acc95f37cf16cfc2253,Join the #military #goyim and die for #israel and #godschosenpeople .... I mean for your people's #freedom of course!,4,yes,jews,yes,yes,yes,yes,other,other,other
102700822e39422cbe745e7d308cd2e2,"#H8 #MUSLIMS
#ISLAM
#BARBARIC
#PIGS
WIPE OUT #MUSLIMS & their stupid #KARAN
 #BokoHaram",5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
11beff10aabd40aabd9abb34c438c297,"Tell me again how muslims are hard working and good people. Sure, they work hard at killing good people and living off our benefits!",5,yes,muslims,yes,yes,yes,yes,muslims,muslims,muslims
122e8a3b2fbd48f8a0cda3fdd53aeb30,Im wary of blacks..... because they steal shit. Arabs I couldn't give a fuck less about because theyre nice. White niggas I trust!!! because I got rid of those white niggas I didn't trust a long time ago....,4.3333335,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
14ea32752ce941f297e7ff5a8091a63a,"I'll say it. Roving gangs of BLACK SOMALI MUSLIMS beating and robbing people (Not a hate crime? BS) in Minneapolis. No better than animals, jackals. 20 arrested.
DEPORT THESE ASS-HOLES.",5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
16da4cbe7689450297777b663d0b5f63,SHE'S AS AUTHENTIC AS A CHINESE GUCCI BAG: Kamala Harris Practiced her Orchestrated Attack on Joe Biden for Days Before Debate,2.6666667,no,,,yes,yes,no,,,
17260a03024245178077c52f78637761,"THAT'S WHY THE MAJORITY OF PEOPLE SUUPORTS TRUMP ...

HE WILL NEVER YIELD TO TYRANNY ESPECIALLY WHEN ITS CONNECTED TO INCOMPETENCE AND DISRESPECT FOR THE NATION.",1,no,,,no,no,no,,,
1f48b219177c4f65837d00cae6ecd96f,US Military Says It Killed Terrorist Leader Who Plotted Kenya Attack,1.25,no,,,no,no,no,,,
22f12d4d61874b9fb43bee6d4cc65521,Jews are cucks and will never replace anything because they are pussies ... no one is gonna fuck this ugly whore anyways,5,yes,jews,no,yes,yes,yes,jews,jews,jews
23e9f9dd27c749eea02268b80c0ca657,"All these females suddenly wanna be decent and just post teasers, FUCK THAT. KEEP DROPPING YA PUSSY BABY, OR ELSE WHAT YOU ON HERE FOR???",5,yes,females,no,yes,yes,yes,females,females,females
2429e8a579f84412ad88d1e974ac0787,"O'Keefe Dials in to CNN Conference Call with Senior Leadership, Tells Jeff Zucker He Will Release Tapes of Editorial Calls Tonight - Zucker Panics and Hangs Up! (VIDEO)",1,no,,,no,no,no,,,
24e7211f52f84b879288cce6ea38cfd2,"So this is how it works here. When some silly little gal - let's call her 'SouthernKimmy' gets her knickers in a twist when you point out one of her posts as fertilizer, she blocks you.",5,yes,females,yes,yes,no,no,other,females,females
2a6859baf46546aab8ad4f4fcb30a8e0,I don't know what the fuck I'm doing here,1.3333334,no,,,no,no,no,,,
2afdf9d684654a3f870b9f2645ae9bcd,Idiot feminists yet again,5,yes,females,no,yes,yes,yes,other,other,females
2eeee07673964da88bf974c181424227,Sad new for China coming their way Biden is not our President...,1.6666666,no,,,no,no,no,,,
35022c16891e446fb50607523ef30657,"NOW I KNOW WHY YOU MOTHER FUCKERS ARE SO HATED...... COUNT ME IN. I HATE EVERY FUCKING DIRTY POLITICIAN JEW.
THREE DIRTY JEW BASTARDS FROM CALIFORNIA AND THREE FROM NEW YORK, FUCKING OVER THE PRESIDENT AND THOSE OF US WHO VOTED FOR HIM.",5,yes,jews,no,yes,yes,yes,jews,jews,jews
365762a186ab497fa0d4ee3c60d9de05,Party Insiders Tell The True Story Of How Philadelphia Elections Work.,2,no,,,no,no,no,,,
36a7459399d04516ad261b7cb9a49253,"Hey idiot! HOLLYWOOD is dying, you'll be on unemployment in the next year or so, so STFU

Black Panther's Star Michael B. Jordan Demands Hollywood to Commit to Black Hiring",4.5,yes,blacks,yes,yes,yes,yes,other,blacks,blacks
3a89000a187e490b83c374474bb54720,"Capitalism is racist!!!!!!!
 there is something wrong with #bluelivesmatter",2.25,no,,,yes,yes,yes,,,
3b685abfd029449ea118e970263fb5ba,"Facebook deceived users about the way it used phone numbers, facial recognition, FTC to allege in complaint",1.5,no,,,no,no,no,,,
3c0aeabdef44403ab4beb0f69d67d51f,"""Allison Carey, sister to Mariah Carey, has claimed that her mother 'pimped' her out to be sexually abused as young as ten years old. She also claims to have witnessed satanic ritual abuse/sacrifice.""",1.3333334,no,,,no,no,no,,,
40959a4e574a4267a75568530b85a7d0,"Twit finally got me AGAIN
M banned

I called Omar a
Muslim piece of shit

But it's TRUE!

they HATE TRUTH

THX PARLER for keeping me on",5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
42b2b3ad47a54347aa85bccea1755aba,"Theres nothing I like more than hearing those three special words from the woman I love: 
I hate niggers",5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
4480aa7e9b39420c81a743bd8c05cad0,The far-left Democrats are some of the biggest enemies the United States has today!!!,2.75,no,,,no,yes,no,,,
499db2d2f17646bdb5bc3741f44783f6,Revolution is the only answer.,2,no,,,no,no,no,,,
49e5abe3c2db432c92ba8ef5d8cefa0a,"Gender Specifics
I was born a male and will always be a male.
My preferred pronouns are Bite, Me.
There is only one other gender: FEMALE.
EAT SHIT TRANNIES!!",5,yes,lgbt,no,yes,yes,yes,lgbt,lgbt,lgbt
4c2f0a6682844dfc9985cfe68ab1cabe,"These people are hypocritical power mongers! We put YOU in office. WAKE UP PEOPLE!!
 
 Follow your own rules or DON'T EXPECT US to do it.",2.5,no,,,no,no,no,,,
4d23c1bbe62e429e8cbf81c96902a91b,"Imagine if you will... TRUMP RECEIVED 72 MILLION VOTES...
What If 10,000, 000 of us dumped Mail in Votes illegally through Out The Nation",2,no,,,no,no,no,,,
4df1c6e57ae54be19a89acc8f3448083,My Advise today. Do not ever trust a Muslim. Its not an ethnicity its a Religion.,5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
4e6aa7adbf9e4759b3aa5050824687e0,Math. Logic. Truth,1,no,,,no,no,no,,,
4f3ee644bdaf4eda96d51206aa812dc3,"If a man speaks or acts with a pure thought,
happiness follows him, like a shadow that never leaves him.
- The Buddha",1.25,no,,,no,no,no,,,
5453c64ad1974d68932e88d10355d6d7,"A government (federal, state, or local) that does not allow the white Americans who would prefer to live in whites-only states the right to create these whites-only states is an evil, illegitimate government.",5,yes,blacks,no,yes,yes,yes,other,other,other
5645f0896abd438499efd9c2ef12f640,Looted by black savages so they reopen with black shoppers in mind whatever that means. Black Privilege is real.,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
588befa8b4554765a1b000f2e7ce2912,"ICE deportation flight, objected to by Omar over COVID fears, included convicted murderer, rapist

FUCK THIS PIECE of Muslim trash. Human waste is ALL she can be compared to.",5,yes,muslims,no,yes,yes,yes,muslims,muslims,muslims
58a672630c0241fabef74922c8ad4e76,Crime is now up 537% at ground zero for #DefundThePolice,2,no,,,no,no,no,,,
5ba5729af9c347739f04a620e8107abc,Whenever I see niggers in a bank I always think that I went into a pawnshop by accident,5,yes,blacks,no,yes,yes,yes,blacks,blacks,blacks
5c24934ad83f4c8786551d5e89f82e99,don't be posting selfies i'm just tryna see some tits and ass,1,no,,,yes,yes,yes,,,
