id,text,label_mean,hate_label,hate_target_label,implicit_hate
1f48b219177c4f65837d00cae6ecd96f,US Military Says It Killed Terrorist Leader Who Plotted Kenya Attack,1.25,no,,
fe7b061375e945d2b21a58a3aae9ceee,Looks like is down to Europe to save the world from Globalism.......we're fucked.,1.25,no,,
4f3ee644bdaf4eda96d51206aa812dc3,"If a man speaks or acts with a pure thought,
happiness follows him, like a shadow that never leaves him.
- The Buddha",1.25,no,,
a99050e7c1fd457cbdf918973724e8ff,Senate Acquits Trump on Both Articles of Impeachment,1.25,no,,
9503e349140b4bbe9e496f4c0f15f830,Whistleblower claims top DHS officials sought to alter intelligence assessments to fit Trump's comments,1.5,no,,
3b685abfd029449ea118e970263fb5ba,"Facebook deceived users about the way it used phone numbers, facial recognition, FTC to allege in complaint",1.5,no,,
c08690825d69439299d20656b754aece,MAYBE WE SHOULD START IMPEACHMENT PROCEEDINGS..,1.75,no,,
8f386cf7a510446085d51c9828dc7c20,Woman Arrested For Sending Threats To Wayne County Republican Who Refused to Certify Vote; Threats Included Pics Of Mutilated Bodies,1.666667,no,,
8c03020fc9344a1982a71409bd869719,"Ya can't make this up !
 Former Obama Vice President JOE BIDEN Is Now WANTED ON CLASS A FELONY CHARGES In Ukraine",2,no,,
3a89000a187e490b83c374474bb54720,"Capitalism is racist!!!!!!!
 there is something wrong with #bluelivesmatter",2.25,no,,
365762a186ab497fa0d4ee3c60d9de05,Party Insiders Tell The True Story Of How Philadelphia Elections Work.,2,no,,
cab4fcd3476949158f3d57272d9034bd,4.2 Million Americans Abandon The Catholic Church In Protest Of Pope Francis | Neon Nettle,2.25,no,,
4c2f0a6682844dfc9985cfe68ab1cabe,"These people are hypocritical power mongers! We put YOU in office. WAKE UP PEOPLE!!
 
 Follow your own rules or DON'T EXPECT US to do it.",2.5,no,,
756e2ae47d344a31b0fc3370e600e885,"Now Corruption Story Is About Joe, Not Hunter Biden | RealClearPolitics",2.5,no,,
4480aa7e9b39420c81a743bd8c05cad0,The far-left Democrats are some of the biggest enemies the United States has today!!!,2.75,no,,
8e889504c8a74af09037ff74bc06df1b,I hope every business moves out of new York city because the dumb fuck mayor allowed them to be broken into,2.666667,no,,
0fed479bd13f4acc95f37cf16cfc2253,Join the #military #goyim and die for #israel and #godschosenpeople .... I mean for your people's #freedom of course!,4,yes,jews,yes
980426d54d7d42208c6241bcf1f31fd4,Kurt Eichenwald is the stereotypical dirty pedophile kike.,4.6666665,yes,jews,yes
0f4cbcd7375445619ba30641618b10dc,"THREE DEJECTED DIRTY JEWS....BURN IN HELL YOU MOTHER FUCKERS...OR SOMEWHERE WE ARE ALL FAMILIAR WITH.
I SHED NO TEARS!!!!",5,yes,jews,no
22f12d4d61874b9fb43bee6d4cc65521,Jews are cucks and will never replace anything because they are pussies ... no one is gonna fuck this ugly whore anyways,5,yes,jews,no
d197f4b9429640f48ea3fe54059e5f41,Send that nigger back to africa!!!! (Small a),4.5,yes,blacks,no
36a7459399d04516ad261b7cb9a49253,"Hey idiot! HOLLYWOOD is dying, you'll be on unemployment in the next year or so, so STFU

Black Panther's Star Michael B. Jordan Demands Hollywood to Commit to Black Hiring",4.5,yes,blacks,yes
a52df008bfe9417db97ede8768b60e6f,"Saw this on Twatter, brilliant

So call each other ""nigga""? Sing songs about beating coppers up and treating women like shit? Walk with a fake limp with half your underpants showing and you want f*cking respect?",5,yes,blacks,yes
84785ec357c84f3fb8f946ee389c30dd,The only difference between a niggar and dogshit is eventually dogshit will turn white and stop smelling bad,5,yes,blacks,no
24e7211f52f84b879288cce6ea38cfd2,"So this is how it works here. When some silly little gal - let's call her 'SouthernKimmy' gets her knickers in a twist when you point out one of her posts as fertilizer, she blocks you.",5,yes,females,yes
c5c537ef59934b26a862b3bd3c40da3e,"Hey another unsuitable Mom just killed a baby by abortion, I think we should all riot and burn down a city!",3.5,yes,females,yes
9f88e1c171184903b67c206dd8382db7,"Planned Parenthood CEO Alexis McGill Johnson: Were Proud to Kill Babies in Abortions, Its Really Not a Big Deal 

What a sick POS BITCH....",5,yes,females,yes
23e9f9dd27c749eea02268b80c0ca657,"All these females suddenly wanna be decent and just post teasers, FUCK THAT. KEEP DROPPING YA PUSSY BABY, OR ELSE WHAT YOU ON HERE FOR???",5,yes,females,no
11beff10aabd40aabd9abb34c438c297,"Tell me again how muslims are hard working and good people. Sure, they work hard at killing good people and living off our benefits!",5,yes,muslims,yes
89cfdf76862947c1bd8205364d67aafa,"Cenk Uygur is a goat fucker...

""Young Turk-ey? Bernie Sanders Immediately Retracts His Endorsement of Bestiality-Legalizing Congressional Candidate Cenk Uygur""",4.6666665,yes,muslims,yes
b24bc16110df4c6686c78f72f945902b,It should have been a quiet evening at the cinema then Muslim thugs riot. Kick all these arse wipes out of our green and pleasant land,4.3333335,yes,muslims,no
4df1c6e57ae54be19a89acc8f3448083,My Advise today. Do not ever trust a Muslim. Its not an ethnicity its a Religion.,5,yes,muslims,no
95c315fdcd1749dea14abc6173a8dd80,"i was going to follow up on a complaint to my local primary over gender identity indoctrination.

can be arsed who gives a fuck about your kids and your sort",3.3333333,yes,lgbt,yes
bfdf39781edd4fff92adeb7b4d307624,"Refuse to use the term transgender, folks. It's a liberal PC term used to control speech and conservatives.

It's TRANSSEXUAL and it's psychotic!",3.6666667,yes,lgbt,no
c189d6fe49d84b86b54b412852e78b2c,Oh the wonderful life of homosexuals....they driven by perverse love and will destroy all before them,5,yes,lgbt,no
49e5abe3c2db432c92ba8ef5d8cefa0a,"Gender Specifics
I was born a male and will always be a male.
My preferred pronouns are Bite, Me.
There is only one other gender: FEMALE.
EAT SHIT TRANNIES!!",5,yes,lgbt,no
